"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2025","1,190.00","1,205.00","1,190.00","1,190.00","","0.85%"
"06/18/2025","1,180.00","1,205.00","1,180.00","1,180.00","","-0.84%"
"06/17/2025","1,190.00","1,200.00","1,190.00","1,190.00","","0.85%"
"06/13/2025","1,180.00","1,200.00","1,180.00","1,180.00","","0.00%"
"06/12/2025","1,180.00","1,200.00","1,180.00","1,180.00","","0.00%"
"06/11/2025","1,180.00","1,190.00","1,180.00","1,180.00","","0.00%"
"06/10/2025","1,180.00","1,190.00","1,180.00","1,180.00","","-0.42%"
"06/09/2025","1,185.00","1,190.00","1,185.00","1,185.00","","2.60%"
"06/06/2025","1,155.00","1,165.00","1,165.00","1,155.00","","-0.86%"
"06/05/2025","1,165.00","1,185.00","1,185.00","1,165.00","","-0.43%"
"06/04/2025","1,170.00","1,165.00","1,170.00","1,165.00","","1.74%"
"06/03/2025","1,150.00","1,160.00","1,160.00","1,150.00","","-0.43%"
"06/02/2025","1,155.00","1,175.00","1,175.00","1,155.00","","-1.28%"
"05/30/2025","1,170.00","1,180.00","1,180.00","1,170.00","","0.86%"
"05/29/2025","1,160.00","1,170.00","1,170.00","1,160.00","","0.00%"
"05/28/2025","1,160.00","1,170.00","1,170.00","1,160.00","","0.43%"
"05/27/2025","1,155.00","1,165.00","1,165.00","1,155.00","","-0.43%"
"05/26/2025","1,160.00","1,170.00","1,170.00","1,160.00","","0.00%"
"05/23/2025","1,160.00","1,165.00","1,165.00","1,160.00","","0.43%"
"05/22/2025","1,155.00","1,165.00","1,165.00","1,155.00","","-0.86%"
"05/21/2025","1,165.00","1,175.00","1,175.00","1,165.00","","0.00%"
"05/20/2025","1,165.00","1,170.00","1,170.00","1,165.00","","0.87%"
"05/19/2025","1,155.00","1,165.00","1,165.00","1,155.00","","0.00%"
"05/16/2025","1,155.00","1,165.00","1,165.00","1,155.00","","0.00%"
"05/15/2025","1,155.00","1,165.00","1,165.00","1,155.00","","0.00%"
"05/14/2025","1,155.00","1,165.00","1,165.00","1,155.00","","0.43%"
"05/13/2025","1,150.00","1,160.00","1,160.00","1,150.00","","-0.86%"
"05/12/2025","1,160.00","1,170.00","1,170.00","1,160.00","","-0.43%"
"05/09/2025","1,165.00","1,175.00","1,175.00","1,165.00","","0.87%"
"05/08/2025","1,155.00","1,160.00","1,160.00","1,155.00","","-0.43%"
"05/07/2025","1,160.00","1,180.00","1,180.00","1,160.00","","-1.69%"
"05/06/2025","1,180.00","1,190.00","1,190.00","1,180.00","","-1.26%"
"05/05/2025","1,195.00","1,190.00","1,195.00","1,190.00","","1.70%"
"04/30/2025","1,175.00","1,190.00","1,190.00","1,175.00","","-1.26%"
"04/29/2025","1,190.00","1,200.00","1,200.00","1,190.00","","-0.42%"
