fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2022-04-21,202.0,114.09,202.0,57.873701453507465,3,0,0.7705320361118415
2022-04-22,203.0,114.23,203.0,60.63750789681054,4,0,0.7771163442178061
2022-04-25,205.5,114.68,205.5,66.54658288489749,0,0,0.7919427973491453
2022-04-26,212.5,114.85,212.5,76.97104839300373,1,1,0.8502394427514149
2022-04-27,206.5,115.04,206.5,59.77677937047659,2,1,0.7950278164116827
2022-04-28,204.0,115.18,204.0,54.330801536757754,3,1,0.7711408230595589
2022-04-29,200.5,115.31,200.5,47.7692771757729,4,1,0.7387910849015696
2022-05-02,201.0,115.73,201.0,48.72202107450165,0,0,0.7368011751490537
2022-05-03,203.5,115.87,203.5,53.30814663517632,1,0,0.7562785880728402
2022-05-04,201.0,116.02,201.0,48.624787707626794,2,0,0.7324599207033271
2022-05-05,201.5,116.16,201.5,49.578881378294184,3,0,0.7346763085399449
2022-05-06,201.0,116.3,201.0,48.60676384513755,4,0,0.7282889079965607
2022-05-09,201.5,116.75,201.5,49.66953001538272,0,0,0.7259100642398287
2022-05-10,202.0,116.93,202.0,50.765962493831196,1,0,0.7275292910288206
2022-05-11,205.0,117.08,205.0,56.84111342117711,2,0,0.7509395285275026
2022-05-12,203.5,117.25,203.5,53.29974249018582,3,0,0.7356076759061834
2022-05-13,203.5,117.43,203.5,53.29974249018582,4,0,0.732947287745891
2022-05-16,205.0,117.86,205.0,56.44675673967578,0,0,0.7393517732903445
2022-05-17,208.0,118.07,208.0,61.966960932586076,1,0,0.7616668078258662
2022-05-19,206.0,118.34,206.0,56.79845969819773,3,0,0.7407470001690045
2022-05-20,204.0,118.48,204.0,52.11712630772312,4,0,0.7218095881161377
2022-05-23,206.5,118.94,206.5,56.89916804832245,0,0,0.7361694972254919
2022-05-24,208.0,119.11,208.0,59.51190921278247,1,0,0.7462849466879355
2022-05-26,207.0,119.41,207.0,57.029881490076086,3,1,0.7335231555146136
2022-05-27,206.5,119.55,206.5,55.77727480833653,4,1,0.7273107486407361
2022-05-30,206.5,119.55,206.5,55.77727480833653,0,1,0.7273107486407361
2022-05-31,206.0,120.2,206.0,54.39174891957688,1,1,0.713810316139767
2022-06-01,206.0,120.32,206.0,54.39174891957688,2,0,0.7121010638297873
2022-06-02,206.0,120.46,206.0,54.39174891957688,3,0,0.7101112402457248
2022-06-03,205.0,120.68,205.0,51.213927543557716,4,0,0.698707325157441
2022-06-06,205.0,121.11,205.0,51.213927543557716,0,0,0.6926760795970606
2022-06-07,206.0,121.29,206.0,54.30983888309806,1,0,0.6984087723637562
2022-06-08,208.0,121.45,208.0,59.803875172559515,2,0,0.7126389460683409
2022-06-09,208.0,121.62,208.0,59.80387517255952,3,0,0.7102450254892286
2022-06-10,210.0,121.79,210.0,64.72341754579614,4,0,0.7242794974956892
2022-06-13,216.0,122.3,216.0,74.71953772109799,0,0,0.7661488143908423
2022-06-14,224.0,122.5,224.0,82.03085699108976,1,0,0.8285714285714286
2022-06-15,217.0,122.7,217.0,64.46315259105279,2,0,0.7685411572942135
2022-06-16,216.0,122.92,216.0,62.40698911696977,3,0,0.7572404816140579
2022-06-21,220.0,123.67,220.0,66.94833073040891,1,0,0.7789277917037276
2022-06-22,224.0,123.85,224.0,70.75320279639621,2,0,0.808639483245862
2022-06-23,224.0,124.07,224.0,70.75320279639621,3,0,0.805432417183848
2022-06-24,226.0,124.24,226.0,72.58340687340862,4,0,0.8190598840952995
2022-06-27,232.0,124.71,232.0,77.19417189113206,0,1,0.8603159329644777
2022-06-28,239.0,124.87,239.0,81.17237169288128,1,1,0.913990550172179
2022-06-29,239.0,125.04,239.0,81.17237169288128,2,1,0.9113883557261675
2022-06-30,238.0,125.23,238.0,78.89230925525055,3,1,0.9005030743432084
2022-07-01,239.0,125.45,239.0,79.51206612818807,4,0,0.9051414906337185
2022-07-04,260.0,125.45,260.0,87.68772671962967,0,0,1.072538860103627
2022-07-05,252.0,126.2,252.0,75.35175323520698,1,0,0.9968304278922345
2022-07-06,255.0,126.39,255.0,76.6768216453345,2,0,1.0175646807500593
2022-07-07,257.0,126.56,257.0,77.54355728154164,3,0,1.0306573957016434
2022-07-08,273.0,126.8,273.0,82.98966718259516,4,0,1.1529968454258674
2022-07-11,268.0,127.35,268.0,76.72741288780804,0,0,1.104436592069101
2022-07-12,272.0,127.59,272.0,78.1480143377664,1,0,1.1318285132063641
2022-07-13,283.0,127.82,283.0,81.493565792932,2,0,1.2140510092317323
2022-07-14,289.0,128.0,289.0,83.02057944811169,3,0,1.2578125
2022-07-15,293.0,128.25,293.0,83.97018265205818,4,0,1.2846003898635479
2022-07-18,291.0,128.91,291.0,81.51539664037374,0,0,1.257388875959972
2022-07-19,301.0,129.14,301.0,84.02939304017748,1,0,1.330803778844665
2022-07-20,317.0,129.38,317.0,87.06149204934951,2,0,1.450146854227856
2022-07-21,337.0,129.58,337.0,89.69514496643743,3,0,1.600709986108967
2022-07-22,338.0,129.74,338.0,89.8068664628933,4,0,1.605210420841683
2022-07-25,322.0,130.4,322.0,75.67082000295896,0,0,1.469325153374233
2022-07-26,323.0,130.68,323.0,75.92587488135653,1,1,1.4716865625956534
2022-07-27,326.0,130.91,326.0,76.71454753509005,2,1,1.4902604843021925
2022-07-28,314.0,131.12,314.0,67.22736927800167,3,1,1.3947528981086028
2022-07-29,296.0,131.27,296.0,56.033439957983845,4,1,1.2548944922678447
2022-08-01,282.0,131.89,282.0,49.1750598015071,0,0,1.138145424217151
2022-08-02,291.0,132.2,291.0,53.14538263806579,1,0,1.201210287443268
2022-08-03,298.0,132.42,298.0,56.02288627999449,2,0,1.2504153451140314
2022-08-04,291.0,132.64,291.0,52.54752141932357,3,0,1.1939083232810617
2022-08-05,293.0,132.89,293.0,53.4363109801525,4,0,1.2048310632854242
2022-08-08,292.0,133.57,292.0,52.90276347960792,0,0,1.1861196376431835
2022-08-09,293.0,133.85,293.0,53.40380276513863,1,0,1.1890175569667538
2022-08-10,295.0,134.05,295.0,54.44756746948592,2,0,1.2006713912719134
2022-08-11,297.0,134.27,297.0,55.520558618538615,3,0,1.21196097415655
2022-08-12,295.0,134.59,295.0,54.14701094756757,4,0,1.1918418901850063
2022-08-16,291.0,135.33,291.0,51.407751323599534,1,0,1.1502992684548878
2022-08-17,292.0,135.53,292.0,52.06069413094701,2,0,1.1545045377407217
2022-08-18,293.0,135.8,293.0,52.744519194788026,3,0,1.1575846833578791
2022-08-19,295.0,136.17,295.0,54.15308792283145,4,0,1.166409635015055
2022-08-22,292.0,136.64,292.0,51.66536886716194,0,0,1.137002341920375
2022-08-23,297.0,136.95,297.0,55.34717157807863,1,0,1.1686746987951808
2022-08-24,295.0,137.15,295.0,53.5887601860814,2,0,1.1509296390812978
2022-08-25,293.0,137.4,293.0,51.81590671371937,3,0,1.1324599708879184
2022-08-26,292.0,137.7,292.0,50.909029195019556,4,1,1.1205519244734932
2022-08-29,292.0,138.32,292.0,50.909029195019556,0,1,1.1110468478889532
2022-08-30,291.0,138.6,291.0,49.896231631957015,1,1,1.0995670995670996
2022-08-31,290.0,138.73,290.0,48.84964796221016,2,1,1.0903914077704895
2022-09-01,285.0,139.03,285.0,43.89230174550441,3,0,1.049917284039416
2022-09-02,285.0,139.03,285.0,43.892301745504405,4,0,1.049917284039416
2022-09-05,270.0,139.03,270.0,32.43870395630914,0,0,0.9420269006689204
2022-09-06,276.0,140.56,276.0,39.26573710624574,1,0,0.9635742743312464
2022-09-07,284.0,140.8,284.0,46.96145379224253,2,0,1.0170454545454544
2022-09-08,280.0,141.15,280.0,43.96196599347969,3,0,0.9837052780729719
2022-09-09,274.0,141.38,274.0,39.85034053840825,4,0,0.9380393266374311
2022-09-12,272.0,142.28,272.0,38.55587517487615,0,0,0.9117233623840315
2022-09-13,273.0,142.58,273.0,39.61211587492716,1,0,0.914714546219666
2022-09-14,277.0,142.88,277.0,43.77555650046496,2,0,0.9386898096304592
2022-09-15,276.0,143.2,276.0,42.977798046089156,3,0,0.9273743016759778
2022-09-16,277.0,143.52,277.0,44.07535647033784,4,0,0.9300445930880712
2022-09-19,277.0,144.37,277.0,44.07535647033784,0,0,0.9186811664473228
2022-09-20,287.0,144.64,287.0,54.281179778917036,1,0,0.984236725663717
2022-09-21,287.0,144.89,287.0,54.281179778917036,2,0,0.9808130305749191
2022-09-22,287.0,145.16,287.0,54.281179778917036,3,0,0.9771286855883163
